,First Rand,Investec Group,MTN Group,Aveng Limited
2012-07-30,2835.0,2814.6162109375,15250.0,1486.3507080078125
2012-07-31,2764.0,2791.779296875,14898.0,1555.03125
2012-08-01,2785.0,2811.761474609375,15510.0,1542.0726318359375
2012-08-02,2790.0,2814.6162109375,15510.0,1576.62890625
2012-08-03,2900.0,2836.8818359375,15750.0,1546.39208984375
2012-08-06,2890.0,2855.151123046875,15597.0,1529.114013671875
2012-08-07,2862.0,2816.89990234375,15374.0,1507.516357421875
2012-08-08,2840.0,2848.87109375,15300.0,1508.3802490234375
2012-08-09,2840.0,2848.87109375,15300.0,1508.3802490234375
2012-08-10,2825.0,2866.5693359375,15485.0,1512.6998291015625
2012-08-13,2815.0,2877.4169921875,15432.0,1520.4749755859375
2012-08-14,2860.0,2900.824462890625,15555.0,1544.232421875
2012-08-15,2815.0,2909.958984375,15700.0,1501.468994140625
2012-08-16,2779.0,2940.217529296875,15719.0,1485.918701171875
2012-08-17,2736.0,2977.898193359375,15275.0,1437.5400390625
2012-08-20,2730.0,2933.9375,15620.0,1420.2618408203125
2012-08-21,2765.0,2934.508544921875,15846.0,1416.80615234375
2012-08-22,2770.0,2883.1259765625,15794.0,1377.49853515625
2012-08-23,2749.0,2911.671875,15694.0,1380.0902099609375
2012-08-24,2763.0,2920.806396484375,15840.0,1367.131591796875
2012-08-27,2782.0,2945.9267578125,15610.0,1361.0843505859375
2012-08-28,2803.0,2911.671875,15405.0,1371.4510498046875
2012-08-29,2803.0,2891.689697265625,15700.0,1406.0074462890625
2012-08-30,2738.0,2883.697021484375,15600.0,1330.4156494140625
2012-08-31,2745.0,2905.962646484375,15700.0,1329.1197509765625
2012-09-03,2738.0,2935.650390625,15835.0,1321.3446044921875
2012-09-04,2771.0,2898.540771484375,15558.0,1312.7054443359375
2012-09-05,2783.0,2894.544189453125,15425.0,1308.81787109375
2012-09-06,2808.0,2969.334228515625,15897.0,1326.0960693359375
2012-09-07,2766.0,2968.763427734375,15490.0,1369.2913818359375
2012-09-10,2725.0,2934.508544921875,15548.0,1351.581298828125
2012-09-11,2755.0,2911.671875,15727.0,1348.5576171875
2012-09-12,2735.0,3022.429443359375,15821.0,1349.853515625
2012-09-13,2659.0,3003.018310546875,15901.0,1348.5576171875
2012-09-14,2562.0,3041.8408203125,15990.0,1371.4510498046875
2012-09-17,2550.0,3023.00048828125,16057.0,1358.060546875
2012-09-18,2637.0,3035.560546875,16113.0,1354.1729736328125
2012-09-19,2700.0,3045.26611328125,16063.0,1382.681884765625
2012-09-20,2705.0,3040.1279296875,16094.0,1373.61083984375
2012-09-21,2732.0,2951.635986328125,16031.0,1352.8770751953125
